PPG GSR SENSOR_TIME COMPUTER_TIME
0.000000 81900.000000 9815892 1590688754.366352
0.000000 79026.315789 9816052 1590688754.367355
0.000000 81900.000000 9816212 1590688754.367355
0.000000 79026.315789 9816372 1590688754.376336
0.000000 81900.000000 9816532 1590688754.376336
0.000000 81900.000000 9816692 1590688754.387296
0.732601 79026.315789 9816852 1590688754.387296
0.000000 79026.315789 9817012 1590688754.398267
0.000000 81900.000000 9817172 1590688754.399269
0.000000 81900.000000 9817332 1590688754.403256
0.732601 79026.315789 9817492 1590688754.404257
0.732601 81900.000000 9817652 1590688754.412228
0.732601 81900.000000 9817812 1590688754.412228
0.000000 79026.315789 9817972 1590688754.426190
0.000000 81900.000000 9818132 1590688754.426190
0.000000 79026.315789 9818292 1590688754.451121
0.000000 81900.000000 9818452 1590688754.451121
0.732601 79026.315789 9818612 1590688754.477052
0.000000 81900.000000 9818772 1590688754.477052
0.000000 81900.000000 9818932 1590688754.478050
0.000000 81900.000000 9819092 1590688754.479048
0.000000 79026.315789 9819252 1590688754.485061
0.732601 81900.000000 9819412 1590688754.485061
30.036630 79026.315789 9819572 1590688754.490025
98.168498 81900.000000 9819732 1590688754.490025
183.150183 81900.000000 9819892 1590688754.491015
276.923077 79026.315789 9820052 1590688754.491015
374.358974 79026.315789 9820212 1590688754.492012
472.527473 79026.315789 9820372 1590688754.492012
569.963370 76347.457627 9820532 1590688754.510962
660.805861 79026.315789 9820692 1590688754.510962
747.252747 79026.315789 9820852 1590688754.511959
829.304029 79026.315789 9821012 1590688754.511959
906.227106 79026.315789 9821172 1590688754.521932
980.219780 76347.457627 9821332 1590688754.521932
1049.816850 79026.315789 9821492 1590688754.533900
1117.216117 79026.315789 9821652 1590688754.533900
1179.487179 79026.315789 9821812 1590688754.544871
1241.025641 79026.315789 9821972 1590688754.544871
1300.366300 79026.315789 9822132 1590688754.560884
1356.043956 79026.315789 9822292 1590688754.560884
1409.523810 79026.315789 9822452 1590688754.561828
1460.073260 79026.315789 9822612 1590688754.562825
1506.959707 79026.315789 9822772 1590688754.569805
1549.450549 76347.457627 9822932 1590688754.569805
1588.278388 79026.315789 9823092 1590688754.580896
1624.908425 79026.315789 9823252 1590688754.580896
1657.142857 76347.457627 9823412 1590688754.591827
1686.446886 79026.315789 9823572 1590688754.592746
1713.553114 79026.315789 9823732 1590688754.600724
1736.263736 79026.315789 9823892 1590688754.600724
1752.380952 76347.457627 9824052 1590688754.611692
1768.498168 76347.457627 9824212 1590688754.612693
1778.754579 76347.457627 9824372 1590688754.634639
1785.347985 76347.457627 9824532 1590688754.634639
1786.813187 79026.315789 9824692 1590688754.635637
1786.813187 79026.315789 9824852 1590688754.636635
1782.417582 76347.457627 9825012 1590688754.637650
1773.626374 79026.315789 9825172 1590688754.637650
1764.835165 79026.315789 9825332 1590688754.648597
1750.915751 76347.457627 9825492 1590688754.648597
